source,operator,round,machine,barrel,bullet,land,barrel_updated,bullet_updated,machine_updated
/media/Raven/Variability//Marco/Round 3/Sneox2/Orange/Bullet 3/Variability - Round 3 - Barrel Orange - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Marco Yepez.x3p,Marco,Round 3,Sneox2,Barrel Orange,Bullet 2,Land 1,NA,Bullet 3,NA
/media/Raven/Variability//Marco/Round 3/Sneox2/Orange/Bullet 3/Variability - Round 3 - Barrel Orange - Bullet 2 - Land 2 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Marco Yepez.x3p,Marco,Round 3,Sneox2,Barrel Orange,Bullet 2,Land 2,NA,Bullet 3,NA
/media/Raven/Variability//Marco/Round 3/Sneox2/Orange/Bullet 3/Variability - Round 3 - Barrel Orange - Bullet 2 - Land 3 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Marco Yepez.x3p,Marco,Round 3,Sneox2,Barrel Orange,Bullet 2,Land 3,NA,Bullet 3,NA
/media/Raven/Variability//Marco/Round 3/Sneox2/Orange/Bullet 3/Variability - Round 3 - Barrel Orange - Bullet 2 - Land 4 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Marco Yepez.x3p,Marco,Round 3,Sneox2,Barrel Orange,Bullet 2,Land 4,NA,Bullet 3,NA
/media/Raven/Variability//Marco/Round 3/Sneox2/Orange/Bullet 3/Variability - Round 3 - Barrel Orange - Bullet 2 - Land 5 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Marco Yepez.x3p,Marco,Round 3,Sneox2,Barrel Orange,Bullet 2,Land 5,NA,Bullet 3,NA
/media/Raven/Variability//Marco/Round 3/Sneox2/Orange/Bullet 3/Variability - Round 3 - Barrel Orange - Bullet 2 - Land 6 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Marco Yepez.x3p,Marco,Round 3,Sneox2,Barrel Orange,Bullet 2,Land 6,NA,Bullet 3,NA
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 1/Variability - Round 4 - Barrel Orange - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 1,Land 1,NA,NA,Sneox2
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 1/Variability - Round 4 - Barrel Orange - Bullet 1 - Land 2 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 1,Land 2,NA,NA,Sneox2
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 1/Variability - Round 4 - Barrel Orange - Bullet 1 - Land 3 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 1,Land 3,NA,NA,Sneox2
/media/Raven/Variability//Mark/Round 4/Sneox2/Orange/Bullet 1/Variability - Round 4 - Barrel Orange - Bullet 1 - Land 4 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,Mark,Round 4,Sneox1,Barrel Orange,Bullet 1,Land 4,NA,NA,Sneox2
