Operator,Round,Barrel,Bullet,bullet_id,bullet_code
Allison,Round 1,Barrel 6,Bullet 1,Allison-Round 1-Barrel 6-Bullet 1,Bullet A
Allison,Round 1,Barrel 6,Bullet 2,Allison-Round 1-Barrel 6-Bullet 2,Bullet B
Allison,Round 2,Barrel 6,Bullet 1,Allison-Round 2-Barrel 6-Bullet 1,Bullet B
Allison,Round 2,Barrel 6,Bullet 2,Allison-Round 2-Barrel 6-Bullet 2,Bullet A
Allison,Round 3,Barrel 6,Bullet 1,Allison-Round 3-Barrel 6-Bullet 1,Bullet B
Allison,Round 3,Barrel 6,Bullet 2,Allison-Round 3-Barrel 6-Bullet 2,Bullet A
Allison,Round 4,Barrel 5,Bullet 1,Allison-Round 4-Barrel 5-Bullet 1,Bullet A
Allison,Round 4,Barrel 5,Bullet 2,Allison-Round 4-Barrel 5-Bullet 2,Bullet B
Anyesha,Round 1,Barrel 6,Bullet 1,Anyesha-Round 1-Barrel 6-Bullet 1,Bullet A
Anyesha,Round 1,Barrel 6,Bullet 2,Anyesha-Round 1-Barrel 6-Bullet 2,Bullet B
Anyesha,Round 2,Barrel 6,Bullet 1,Anyesha-Round 2-Barrel 6-Bullet 1,Bullet A
Anyesha,Round 2,Barrel 6,Bullet 2,Anyesha-Round 2-Barrel 6-Bullet 2,Bullet B
Anyesha,Round 4,Barrel 5,Bullet 1,Anyesha-Round 4-Barrel 5-Bullet 1,Bullet B
Anyesha,Round 4,Barrel 5,Bullet 2,Anyesha-Round 4-Barrel 5-Bullet 2,Bullet A
Anyesha,Round 5,Barrel 6,Bullet 1,Anyesha-Round 5-Barrel 6-Bullet 1,Bullet A
Anyesha,Round 5,Barrel 6,Bullet 2,Anyesha-Round 5-Barrel 6-Bullet 2,Bullet B
Carley,Round 1,Barrel 6,Bullet 1,Carley-Round 1-Barrel 6-Bullet 1,Bullet A
Carley,Round 1,Barrel 6,Bullet 2,Carley-Round 1-Barrel 6-Bullet 2,Bullet B
Carley,Round 2,Barrel 6,Bullet 1,Carley-Round 2-Barrel 6-Bullet 1,Bullet B
Carley,Round 2,Barrel 6,Bullet 2,Carley-Round 2-Barrel 6-Bullet 2,Bullet A
Carley,Round 4,Barrel 5,Bullet 1,Carley-Round 4-Barrel 5-Bullet 1,Bullet A
Carley,Round 4,Barrel 5,Bullet 2,Carley-Round 4-Barrel 5-Bullet 2,Bullet B
Carley,Round 5,Barrel 6,Bullet 1,Carley-Round 5-Barrel 6-Bullet 1,Bullet A
Carley,Round 5,Barrel 6,Bullet 2,Carley-Round 5-Barrel 6-Bullet 2,Bullet B
Connor,Round 1,Barrel 6,Bullet 1,Connor-Round 1-Barrel 6-Bullet 1,Bullet A
Connor,Round 1,Barrel 6,Bullet 2,Connor-Round 1-Barrel 6-Bullet 2,Bullet B
Connor,Round 2,Barrel 6,Bullet 1,Connor-Round 2-Barrel 6-Bullet 1,Bullet B
Connor,Round 2,Barrel 6,Bullet 2,Connor-Round 2-Barrel 6-Bullet 2,Bullet A
Connor,Round 3,Barrel 6,Bullet 1,Connor-Round 3-Barrel 6-Bullet 1,Bullet A
Connor,Round 4,Barrel 5,Bullet 1,Connor-Round 4-Barrel 5-Bullet 1,Bullet B
Connor,Round 4,Barrel 5,Bullet 2,Connor-Round 4-Barrel 5-Bullet 2,Bullet A
Connor,Round 5,Barrel 5,Bullet 1,Connor-Round 5-Barrel 5-Bullet 1,Bullet A
Connor,Round 5,Barrel 5,Bullet 2,Connor-Round 5-Barrel 5-Bullet 2,Bullet B
Jozef,Round 1,Barrel 6,Bullet 1,Jozef-Round 1-Barrel 6-Bullet 1,Bullet A
Jozef,Round 1,Barrel 6,Bullet 2,Jozef-Round 1-Barrel 6-Bullet 2,Bullet B
Jozef,Round 2,Barrel 6,Bullet 1,Jozef-Round 2-Barrel 6-Bullet 1,Bullet A
Jozef,Round 2,Barrel 6,Bullet 2,Jozef-Round 2-Barrel 6-Bullet 2,Bullet B
Jozef,Round 4,Barrel 5,Bullet 1,Jozef-Round 4-Barrel 5-Bullet 1,Bullet B
Jozef,Round 4,Barrel 5,Bullet 2,Jozef-Round 4-Barrel 5-Bullet 2,Bullet A
Marco,Round 1,Barrel 6,Bullet 1,Marco-Round 1-Barrel 6-Bullet 1,Bullet A
Marco,Round 1,Barrel 6,Bullet 2,Marco-Round 1-Barrel 6-Bullet 2,Bullet B
Marco,Round 2,Barrel 6,Bullet 1,Marco-Round 2-Barrel 6-Bullet 1,Bullet B
Marco,Round 2,Barrel 6,Bullet 2,Marco-Round 2-Barrel 6-Bullet 2,Bullet A
Marco,Round 4,Barrel 5,Bullet 1,Marco-Round 4-Barrel 5-Bullet 1,Bullet B
Marco,Round 4,Barrel 5,Bullet 2,Marco-Round 4-Barrel 5-Bullet 2,Bullet A
