Barrel,Land,Bullet,Operator,Machine,Round,scan_id,unique_id
Barrel 6,Land 1,Bullet 1,Allison,Sneox1,Round 1,Barrel 6-Land 1-Bullet 1-Allison-Sneox1-Round 1,BL 6-1
Barrel 6,Land 2,Bullet 1,Allison,Sneox1,Round 1,Barrel 6-Land 2-Bullet 1-Allison-Sneox1-Round 1,BL 6-2
Barrel 6,Land 3,Bullet 1,Allison,Sneox1,Round 1,Barrel 6-Land 3-Bullet 1-Allison-Sneox1-Round 1,BL 6-3
Barrel 6,Land 4,Bullet 1,Allison,Sneox1,Round 1,Barrel 6-Land 4-Bullet 1-Allison-Sneox1-Round 1,BL 6-4
Barrel 6,Land 5,Bullet 1,Allison,Sneox1,Round 1,Barrel 6-Land 5-Bullet 1-Allison-Sneox1-Round 1,BL 6-5
Barrel 6,Land 6,Bullet 1,Allison,Sneox1,Round 1,Barrel 6-Land 6-Bullet 1-Allison-Sneox1-Round 1,BL 6-6
Barrel 6,Land 1,Bullet 2,Allison,Sneox1,Round 1,Barrel 6-Land 1-Bullet 2-Allison-Sneox1-Round 1,BL 6-1
Barrel 6,Land 2,Bullet 2,Allison,Sneox1,Round 1,Barrel 6-Land 2-Bullet 2-Allison-Sneox1-Round 1,BL 6-2
Barrel 6,Land 3,Bullet 2,Allison,Sneox1,Round 1,Barrel 6-Land 3-Bullet 2-Allison-Sneox1-Round 1,BL 6-3
Barrel 6,Land 4,Bullet 2,Allison,Sneox1,Round 1,Barrel 6-Land 4-Bullet 2-Allison-Sneox1-Round 1,BL 6-4
Barrel 6,Land 5,Bullet 2,Allison,Sneox1,Round 1,Barrel 6-Land 5-Bullet 2-Allison-Sneox1-Round 1,BL 6-5
Barrel 6,Land 6,Bullet 2,Allison,Sneox1,Round 1,Barrel 6-Land 6-Bullet 2-Allison-Sneox1-Round 1,BL 6-6
Barrel 6,Land 1,Bullet 1,Anyesha,Sneox1,Round 1,Barrel 6-Land 1-Bullet 1-Anyesha-Sneox1-Round 1,BL 6-1
Barrel 6,Land 2,Bullet 1,Anyesha,Sneox1,Round 1,Barrel 6-Land 2-Bullet 1-Anyesha-Sneox1-Round 1,BL 6-2
Barrel 6,Land 3,Bullet 1,Anyesha,Sneox1,Round 1,Barrel 6-Land 3-Bullet 1-Anyesha-Sneox1-Round 1,BL 6-3
Barrel 6,Land 4,Bullet 1,Anyesha,Sneox1,Round 1,Barrel 6-Land 4-Bullet 1-Anyesha-Sneox1-Round 1,BL 6-4
Barrel 6,Land 5,Bullet 1,Anyesha,Sneox1,Round 1,Barrel 6-Land 5-Bullet 1-Anyesha-Sneox1-Round 1,BL 6-5
Barrel 6,Land 6,Bullet 1,Anyesha,Sneox1,Round 1,Barrel 6-Land 6-Bullet 1-Anyesha-Sneox1-Round 1,BL 6-6
Barrel 6,Land 1,Bullet 2,Anyesha,Sneox2,Round 1,Barrel 6-Land 1-Bullet 2-Anyesha-Sneox2-Round 1,BL 6-1
Barrel 6,Land 2,Bullet 2,Anyesha,Sneox2,Round 1,Barrel 6-Land 2-Bullet 2-Anyesha-Sneox2-Round 1,BL 6-2
Barrel 6,Land 3,Bullet 2,Anyesha,Sneox2,Round 1,Barrel 6-Land 3-Bullet 2-Anyesha-Sneox2-Round 1,BL 6-3
Barrel 6,Land 4,Bullet 2,Anyesha,Sneox2,Round 1,Barrel 6-Land 4-Bullet 2-Anyesha-Sneox2-Round 1,BL 6-4
Barrel 6,Land 5,Bullet 2,Anyesha,Sneox2,Round 1,Barrel 6-Land 5-Bullet 2-Anyesha-Sneox2-Round 1,BL 6-5
Barrel 6,Land 6,Bullet 2,Anyesha,Sneox2,Round 1,Barrel 6-Land 6-Bullet 2-Anyesha-Sneox2-Round 1,BL 6-6
Barrel 6,Land 1,Bullet 1,Carley,Sneox1,Round 1,Barrel 6-Land 1-Bullet 1-Carley-Sneox1-Round 1,BL 6-2
Barrel 6,Land 2,Bullet 1,Carley,Sneox2,Round 1,Barrel 6-Land 2-Bullet 1-Carley-Sneox2-Round 1,BL 6-3
Barrel 6,Land 3,Bullet 1,Carley,Sneox2,Round 1,Barrel 6-Land 3-Bullet 1-Carley-Sneox2-Round 1,BL 6-4
Barrel 6,Land 4,Bullet 1,Carley,Sneox2,Round 1,Barrel 6-Land 4-Bullet 1-Carley-Sneox2-Round 1,BL 6-5
Barrel 6,Land 5,Bullet 1,Carley,Sneox2,Round 1,Barrel 6-Land 5-Bullet 1-Carley-Sneox2-Round 1,BL 6-6
Barrel 6,Land 6,Bullet 1,Carley,Sneox2,Round 1,Barrel 6-Land 6-Bullet 1-Carley-Sneox2-Round 1,BL 6-1
Barrel 6,Land 1,Bullet 2,Carley,Sneox2,Round 1,Barrel 6-Land 1-Bullet 2-Carley-Sneox2-Round 1,BL 6-5
Barrel 6,Land 2,Bullet 2,Carley,Sneox2,Round 1,Barrel 6-Land 2-Bullet 2-Carley-Sneox2-Round 1,BL 6-6
Barrel 6,Land 3,Bullet 2,Carley,Sneox2,Round 1,Barrel 6-Land 3-Bullet 2-Carley-Sneox2-Round 1,BL 6-1
Barrel 6,Land 4,Bullet 2,Carley,Sneox2,Round 1,Barrel 6-Land 4-Bullet 2-Carley-Sneox2-Round 1,BL 6-2
Barrel 6,Land 5,Bullet 2,Carley,Sneox2,Round 1,Barrel 6-Land 5-Bullet 2-Carley-Sneox2-Round 1,BL 6-3
Barrel 6,Land 6,Bullet 2,Carley,Sneox2,Round 1,Barrel 6-Land 6-Bullet 2-Carley-Sneox2-Round 1,BL 6-4
Barrel 6,Land 1,Bullet 1,Connor,Sneox1,Round 1,Barrel 6-Land 1-Bullet 1-Connor-Sneox1-Round 1,BL 6-1
Barrel 6,Land 2,Bullet 1,Connor,Sneox1,Round 1,Barrel 6-Land 2-Bullet 1-Connor-Sneox1-Round 1,BL 6-2
Barrel 6,Land 3,Bullet 1,Connor,Sneox1,Round 1,Barrel 6-Land 3-Bullet 1-Connor-Sneox1-Round 1,BL 6-3
Barrel 6,Land 4,Bullet 1,Connor,Sneox1,Round 1,Barrel 6-Land 4-Bullet 1-Connor-Sneox1-Round 1,BL 6-4
Barrel 6,Land 5,Bullet 1,Connor,Sneox1,Round 1,Barrel 6-Land 5-Bullet 1-Connor-Sneox1-Round 1,BL 6-5
Barrel 6,Land 6,Bullet 1,Connor,Sneox1,Round 1,Barrel 6-Land 6-Bullet 1-Connor-Sneox1-Round 1,BL 6-6
Barrel 6,Land 1,Bullet 2,Connor,Sneox1,Round 1,Barrel 6-Land 1-Bullet 2-Connor-Sneox1-Round 1,BL 6-1
Barrel 6,Land 2,Bullet 2,Connor,Sneox1,Round 1,Barrel 6-Land 2-Bullet 2-Connor-Sneox1-Round 1,BL 6-2
Barrel 6,Land 3,Bullet 2,Connor,Sneox1,Round 1,Barrel 6-Land 3-Bullet 2-Connor-Sneox1-Round 1,BL 6-3
Barrel 6,Land 4,Bullet 2,Connor,Sneox1,Round 1,Barrel 6-Land 4-Bullet 2-Connor-Sneox1-Round 1,BL 6-4
Barrel 6,Land 5,Bullet 2,Connor,Sneox1,Round 1,Barrel 6-Land 5-Bullet 2-Connor-Sneox1-Round 1,BL 6-5
Barrel 6,Land 6,Bullet 2,Connor,Sneox1,Round 1,Barrel 6-Land 6-Bullet 2-Connor-Sneox1-Round 1,BL 6-6
Barrel 6,Land 1,Bullet 1,Jozef,Sneox1,Round 1,Barrel 6-Land 1-Bullet 1-Jozef-Sneox1-Round 1,BL 6-1
Barrel 6,Land 2,Bullet 1,Jozef,Sneox1,Round 1,Barrel 6-Land 2-Bullet 1-Jozef-Sneox1-Round 1,BL 6-2
Barrel 6,Land 3,Bullet 1,Jozef,Sneox1,Round 1,Barrel 6-Land 3-Bullet 1-Jozef-Sneox1-Round 1,BL 6-3
Barrel 6,Land 4,Bullet 1,Jozef,Sneox1,Round 1,Barrel 6-Land 4-Bullet 1-Jozef-Sneox1-Round 1,BL 6-4
Barrel 6,Land 5,Bullet 1,Jozef,Sneox1,Round 1,Barrel 6-Land 5-Bullet 1-Jozef-Sneox1-Round 1,BL 6-5
Barrel 6,Land 6,Bullet 1,Jozef,Sneox1,Round 1,Barrel 6-Land 6-Bullet 1-Jozef-Sneox1-Round 1,BL 6-6
Barrel 6,Land 1,Bullet 2,Jozef,Sneox1,Round 1,Barrel 6-Land 1-Bullet 2-Jozef-Sneox1-Round 1,BL 6-1
Barrel 6,Land 2,Bullet 2,Jozef,Sneox1,Round 1,Barrel 6-Land 2-Bullet 2-Jozef-Sneox1-Round 1,BL 6-2
Barrel 6,Land 3,Bullet 2,Jozef,Sneox1,Round 1,Barrel 6-Land 3-Bullet 2-Jozef-Sneox1-Round 1,BL 6-3
Barrel 6,Land 4,Bullet 2,Jozef,Sneox1,Round 1,Barrel 6-Land 4-Bullet 2-Jozef-Sneox1-Round 1,BL 6-4
Barrel 6,Land 5,Bullet 2,Jozef,Sneox1,Round 1,Barrel 6-Land 5-Bullet 2-Jozef-Sneox1-Round 1,BL 6-5
Barrel 6,Land 6,Bullet 2,Jozef,Sneox1,Round 1,Barrel 6-Land 6-Bullet 2-Jozef-Sneox1-Round 1,BL 6-6
Barrel 6,Land 1,Bullet 1,Marco,Sneox1,Round 1,Barrel 6-Land 1-Bullet 1-Marco-Sneox1-Round 1,BL 6-2
Barrel 6,Land 2,Bullet 1,Marco,Sneox1,Round 1,Barrel 6-Land 2-Bullet 1-Marco-Sneox1-Round 1,BL 6-3
Barrel 6,Land 3,Bullet 1,Marco,Sneox1,Round 1,Barrel 6-Land 3-Bullet 1-Marco-Sneox1-Round 1,BL 6-4
Barrel 6,Land 4,Bullet 1,Marco,Sneox1,Round 1,Barrel 6-Land 4-Bullet 1-Marco-Sneox1-Round 1,BL 6-5
Barrel 6,Land 5,Bullet 1,Marco,Sneox1,Round 1,Barrel 6-Land 5-Bullet 1-Marco-Sneox1-Round 1,BL 6-6
Barrel 6,Land 6,Bullet 1,Marco,Sneox1,Round 1,Barrel 6-Land 6-Bullet 1-Marco-Sneox1-Round 1,BL 6-1
Barrel 6,Land 1,Bullet 2,Marco,Sneox1,Round 1,Barrel 6-Land 1-Bullet 2-Marco-Sneox1-Round 1,BL 6-5
Barrel 6,Land 2,Bullet 2,Marco,Sneox1,Round 1,Barrel 6-Land 2-Bullet 2-Marco-Sneox1-Round 1,BL 6-6
Barrel 6,Land 3,Bullet 2,Marco,Sneox1,Round 1,Barrel 6-Land 3-Bullet 2-Marco-Sneox1-Round 1,BL 6-1
Barrel 6,Land 4,Bullet 2,Marco,Sneox1,Round 1,Barrel 6-Land 4-Bullet 2-Marco-Sneox1-Round 1,BL 6-2
Barrel 6,Land 5,Bullet 2,Marco,Sneox1,Round 1,Barrel 6-Land 5-Bullet 2-Marco-Sneox1-Round 1,BL 6-3
Barrel 6,Land 6,Bullet 2,Marco,Sneox1,Round 1,Barrel 6-Land 6-Bullet 2-Marco-Sneox1-Round 1,BL 6-4
Barrel 6,Land 1,Bullet 1,Allison,Sneox1,Round 2,Barrel 6-Land 1-Bullet 1-Allison-Sneox1-Round 2,BL 6-6
