scan_id,barrel,land,bullet,operator,machine,round,unique_id
Barrel Blue-Land 1-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Blue,Land 1,Bullet 1,Anyesha,Sneox1,Round 1,BL B-1
Barrel Blue-Land 2-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Blue,Land 2,Bullet 1,Anyesha,Sneox1,Round 1,BL B-2
Barrel Blue-Land 3-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Blue,Land 3,Bullet 1,Anyesha,Sneox1,Round 1,BL B-3
Barrel Blue-Land 4-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Blue,Land 4,Bullet 1,Anyesha,Sneox1,Round 1,BL B-4
Barrel Blue-Land 5-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Blue,Land 5,Bullet 1,Anyesha,Sneox1,Round 1,BL B-5
Barrel Blue-Land 6-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Blue,Land 6,Bullet 1,Anyesha,Sneox1,Round 1,BL B-6
Barrel Blue-Land 1-Bullet 1-Anyesha-Sneox1-Round 2,Barrel Blue,Land 1,Bullet 1,Anyesha,Sneox1,Round 2,BL B-6
Barrel Blue-Land 2-Bullet 1-Anyesha-Sneox1-Round 2,Barrel Blue,Land 2,Bullet 1,Anyesha,Sneox1,Round 2,BL B-1
Barrel Blue-Land 3-Bullet 1-Anyesha-Sneox1-Round 2,Barrel Blue,Land 3,Bullet 1,Anyesha,Sneox1,Round 2,BL B-2
Barrel Blue-Land 4-Bullet 1-Anyesha-Sneox1-Round 2,Barrel Blue,Land 4,Bullet 1,Anyesha,Sneox1,Round 2,BL B-3
Barrel Blue-Land 5-Bullet 1-Anyesha-Sneox1-Round 2,Barrel Blue,Land 5,Bullet 1,Anyesha,Sneox1,Round 2,BL B-4
Barrel Blue-Land 6-Bullet 1-Anyesha-Sneox1-Round 2,Barrel Blue,Land 6,Bullet 1,Anyesha,Sneox1,Round 2,BL B-5
Barrel Blue-Land 1-Bullet 1-Anyesha-Sneox1-Round 3,Barrel Blue,Land 1,Bullet 1,Anyesha,Sneox1,Round 3,BL B-6
Barrel Blue-Land 2-Bullet 1-Anyesha-Sneox1-Round 3,Barrel Blue,Land 2,Bullet 1,Anyesha,Sneox1,Round 3,BL B-1
Barrel Blue-Land 3-Bullet 1-Anyesha-Sneox1-Round 3,Barrel Blue,Land 3,Bullet 1,Anyesha,Sneox1,Round 3,BL B-2
Barrel Blue-Land 4-Bullet 1-Anyesha-Sneox1-Round 3,Barrel Blue,Land 4,Bullet 1,Anyesha,Sneox1,Round 3,BL B-3
Barrel Blue-Land 5-Bullet 1-Anyesha-Sneox1-Round 3,Barrel Blue,Land 5,Bullet 1,Anyesha,Sneox1,Round 3,BL B-4
Barrel Blue-Land 6-Bullet 1-Anyesha-Sneox1-Round 3,Barrel Blue,Land 6,Bullet 1,Anyesha,Sneox1,Round 3,BL B-5
Barrel Blue-Land 1-Bullet 1-Anyesha-Sneox1-Round 5,Barrel Blue,Land 1,Bullet 1,Anyesha,Sneox1,Round 5,BL B-3
Barrel Blue-Land 2-Bullet 1-Anyesha-Sneox1-Round 5,Barrel Blue,Land 2,Bullet 1,Anyesha,Sneox1,Round 5,BL B-4
Barrel Blue-Land 3-Bullet 1-Anyesha-Sneox1-Round 5,Barrel Blue,Land 3,Bullet 1,Anyesha,Sneox1,Round 5,BL B-5
Barrel Blue-Land 4-Bullet 1-Anyesha-Sneox1-Round 5,Barrel Blue,Land 4,Bullet 1,Anyesha,Sneox1,Round 5,BL B-6
Barrel Blue-Land 5-Bullet 1-Anyesha-Sneox1-Round 5,Barrel Blue,Land 5,Bullet 1,Anyesha,Sneox1,Round 5,BL B-1
Barrel Blue-Land 6-Bullet 1-Anyesha-Sneox1-Round 5,Barrel Blue,Land 6,Bullet 1,Anyesha,Sneox1,Round 5,BL B-2
Barrel Blue-Land 1-Bullet 1-Anyesha-Sneox1-Round 6,Barrel Blue,Land 1,Bullet 1,Anyesha,Sneox1,Round 6,BL B-2
Barrel Blue-Land 2-Bullet 1-Anyesha-Sneox1-Round 6,Barrel Blue,Land 2,Bullet 1,Anyesha,Sneox1,Round 6,BL B-3
Barrel Blue-Land 3-Bullet 1-Anyesha-Sneox1-Round 6,Barrel Blue,Land 3,Bullet 1,Anyesha,Sneox1,Round 6,BL B-4
Barrel Blue-Land 4-Bullet 1-Anyesha-Sneox1-Round 6,Barrel Blue,Land 4,Bullet 1,Anyesha,Sneox1,Round 6,BL B-5
Barrel Blue-Land 5-Bullet 1-Anyesha-Sneox1-Round 6,Barrel Blue,Land 5,Bullet 1,Anyesha,Sneox1,Round 6,BL B-6
