scan_id,barrel,land,bullet,operator,machine,round,unique_id
Barrel Green-Land 1-Bullet 1-Allison-Sneox1-Round 1,Barrel Green,Land 1,Bullet 1,Allison,Sneox1,Round 1,NA
Barrel Green-Land 2-Bullet 1-Allison-Sneox1-Round 1,Barrel Green,Land 2,Bullet 1,Allison,Sneox1,Round 1,NA
Barrel Green-Land 3-Bullet 1-Allison-Sneox1-Round 1,Barrel Green,Land 3,Bullet 1,Allison,Sneox1,Round 1,NA
Barrel Green-Land 4-Bullet 1-Allison-Sneox1-Round 1,Barrel Green,Land 4,Bullet 1,Allison,Sneox1,Round 1,NA
Barrel Green-Land 5-Bullet 1-Allison-Sneox1-Round 1,Barrel Green,Land 5,Bullet 1,Allison,Sneox1,Round 1,NA
Barrel Green-Land 6-Bullet 1-Allison-Sneox1-Round 1,Barrel Green,Land 6,Bullet 1,Allison,Sneox1,Round 1,NA
Barrel Green-Land 1-Bullet 2-Allison-Sneox1-Round 1,Barrel Green,Land 1,Bullet 2,Allison,Sneox1,Round 1,BL G-5
Barrel Green-Land 2-Bullet 2-Allison-Sneox1-Round 1,Barrel Green,Land 2,Bullet 2,Allison,Sneox1,Round 1,BL G-6
Barrel Green-Land 3-Bullet 2-Allison-Sneox1-Round 1,Barrel Green,Land 3,Bullet 2,Allison,Sneox1,Round 1,BL G-1
Barrel Green-Land 4-Bullet 2-Allison-Sneox1-Round 1,Barrel Green,Land 4,Bullet 2,Allison,Sneox1,Round 1,BL G-2
Barrel Green-Land 5-Bullet 2-Allison-Sneox1-Round 1,Barrel Green,Land 5,Bullet 2,Allison,Sneox1,Round 1,BL G-3
Barrel Green-Land 6-Bullet 2-Allison-Sneox1-Round 1,Barrel Green,Land 6,Bullet 2,Allison,Sneox1,Round 1,BL G-4
Barrel Green-Land 1-Bullet 3-Allison-Sneox1-Round 1,Barrel Green,Land 1,Bullet 3,Allison,Sneox1,Round 1,BL G-6
Barrel Green-Land 2-Bullet 3-Allison-Sneox1-Round 1,Barrel Green,Land 2,Bullet 3,Allison,Sneox1,Round 1,BL G-1
Barrel Green-Land 3-Bullet 3-Allison-Sneox1-Round 1,Barrel Green,Land 3,Bullet 3,Allison,Sneox1,Round 1,BL G-2
Barrel Green-Land 4-Bullet 3-Allison-Sneox1-Round 1,Barrel Green,Land 4,Bullet 3,Allison,Sneox1,Round 1,BL G-3
Barrel Green-Land 5-Bullet 3-Allison-Sneox1-Round 1,Barrel Green,Land 5,Bullet 3,Allison,Sneox1,Round 1,BL G-4
Barrel Green-Land 6-Bullet 3-Allison-Sneox1-Round 1,Barrel Green,Land 6,Bullet 3,Allison,Sneox1,Round 1,BL G-5
Barrel Green-Land 1-Bullet 3-Allison-Sneox2-Round 1,Barrel Green,Land 1,Bullet 3,Allison,Sneox2,Round 1,NA
Barrel Green-Land 2-Bullet 3-Allison-Sneox2-Round 1,Barrel Green,Land 2,Bullet 3,Allison,Sneox2,Round 1,NA
Barrel Green-Land 3-Bullet 3-Allison-Sneox2-Round 1,Barrel Green,Land 3,Bullet 3,Allison,Sneox2,Round 1,NA
Barrel Green-Land 4-Bullet 3-Allison-Sneox2-Round 1,Barrel Green,Land 4,Bullet 3,Allison,Sneox2,Round 1,NA
Barrel Green-Land 5-Bullet 3-Allison-Sneox2-Round 1,Barrel Green,Land 5,Bullet 3,Allison,Sneox2,Round 1,NA
Barrel Green-Land 6-Bullet 3-Allison-Sneox2-Round 1,Barrel Green,Land 6,Bullet 3,Allison,Sneox2,Round 1,NA
Barrel Green-Land 1-Bullet 1-Allison-Sneox2-Round 1,Barrel Green,Land 1,Bullet 1,Allison,Sneox2,Round 1,NA
Barrel Green-Land 2-Bullet 1-Allison-Sneox2-Round 1,Barrel Green,Land 2,Bullet 1,Allison,Sneox2,Round 1,NA
Barrel Green-Land 3-Bullet 1-Allison-Sneox2-Round 1,Barrel Green,Land 3,Bullet 1,Allison,Sneox2,Round 1,NA
Barrel Green-Land 4-Bullet 1-Allison-Sneox2-Round 1,Barrel Green,Land 4,Bullet 1,Allison,Sneox2,Round 1,NA
Barrel Green-Land 5-Bullet 1-Allison-Sneox2-Round 1,Barrel Green,Land 5,Bullet 1,Allison,Sneox2,Round 1,NA
Barrel Green-Land 6-Bullet 1-Allison-Sneox2-Round 1,Barrel Green,Land 6,Bullet 1,Allison,Sneox2,Round 1,NA
Barrel Green-Land 1-Bullet 2-Allison-Sneox2-Round 1,Barrel Green,Land 1,Bullet 2,Allison,Sneox2,Round 1,BL G-4
Barrel Green-Land 2-Bullet 2-Allison-Sneox2-Round 1,Barrel Green,Land 2,Bullet 2,Allison,Sneox2,Round 1,BL G-5
Barrel Green-Land 3-Bullet 2-Allison-Sneox2-Round 1,Barrel Green,Land 3,Bullet 2,Allison,Sneox2,Round 1,BL G-6
Barrel Green-Land 4-Bullet 2-Allison-Sneox2-Round 1,Barrel Green,Land 4,Bullet 2,Allison,Sneox2,Round 1,BL G-1
Barrel Green-Land 5-Bullet 2-Allison-Sneox2-Round 1,Barrel Green,Land 5,Bullet 2,Allison,Sneox2,Round 1,BL G-2
Barrel Green-Land 6-Bullet 2-Allison-Sneox2-Round 1,Barrel Green,Land 6,Bullet 2,Allison,Sneox2,Round 1,BL G-3
Barrel Green-Land 1-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Green,Land 1,Bullet 1,Anyesha,Sneox1,Round 1,BL G-6
Barrel Green-Land 2-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Green,Land 2,Bullet 1,Anyesha,Sneox1,Round 1,BL G-1
Barrel Green-Land 3-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Green,Land 3,Bullet 1,Anyesha,Sneox1,Round 1,BL G-2
Barrel Green-Land 4-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Green,Land 4,Bullet 1,Anyesha,Sneox1,Round 1,BL G-3
Barrel Green-Land 5-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Green,Land 5,Bullet 1,Anyesha,Sneox1,Round 1,BL G-4
Barrel Green-Land 6-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Green,Land 6,Bullet 1,Anyesha,Sneox1,Round 1,BL G-5
Barrel Green-Land 1-Bullet 2-Anyesha-Sneox1-Round 1,Barrel Green,Land 1,Bullet 2,Anyesha,Sneox1,Round 1,BL G-2
Barrel Green-Land 2-Bullet 2-Anyesha-Sneox1-Round 1,Barrel Green,Land 2,Bullet 2,Anyesha,Sneox1,Round 1,BL G-3
Barrel Green-Land 3-Bullet 2-Anyesha-Sneox1-Round 1,Barrel Green,Land 3,Bullet 2,Anyesha,Sneox1,Round 1,BL G-4
Barrel Green-Land 4-Bullet 2-Anyesha-Sneox1-Round 1,Barrel Green,Land 4,Bullet 2,Anyesha,Sneox1,Round 1,BL G-5
Barrel Green-Land 5-Bullet 2-Anyesha-Sneox1-Round 1,Barrel Green,Land 5,Bullet 2,Anyesha,Sneox1,Round 1,BL G-6
Barrel Green-Land 6-Bullet 2-Anyesha-Sneox1-Round 1,Barrel Green,Land 6,Bullet 2,Anyesha,Sneox1,Round 1,BL G-1
Barrel Green-Land 1-Bullet 3-Anyesha-Sneox1-Round 1,Barrel Green,Land 1,Bullet 3,Anyesha,Sneox1,Round 1,BL G-3
Barrel Green-Land 2-Bullet 3-Anyesha-Sneox1-Round 1,Barrel Green,Land 2,Bullet 3,Anyesha,Sneox1,Round 1,BL G-4
Barrel Green-Land 3-Bullet 3-Anyesha-Sneox1-Round 1,Barrel Green,Land 3,Bullet 3,Anyesha,Sneox1,Round 1,BL G-5
Barrel Green-Land 4-Bullet 3-Anyesha-Sneox1-Round 1,Barrel Green,Land 4,Bullet 3,Anyesha,Sneox1,Round 1,BL G-6
Barrel Green-Land 5-Bullet 3-Anyesha-Sneox1-Round 1,Barrel Green,Land 5,Bullet 3,Anyesha,Sneox1,Round 1,BL G-1
Barrel Green-Land 6-Bullet 3-Anyesha-Sneox1-Round 1,Barrel Green,Land 6,Bullet 3,Anyesha,Sneox1,Round 1,BL G-2
Barrel Green-Land 1-Bullet 1-Anyesha-Sneox2-Round 1,Barrel Green,Land 1,Bullet 1,Anyesha,Sneox2,Round 1,BL G-6
Barrel Green-Land 2-Bullet 1-Anyesha-Sneox2-Round 1,Barrel Green,Land 2,Bullet 1,Anyesha,Sneox2,Round 1,BL G-1
Barrel Green-Land 3-Bullet 1-Anyesha-Sneox2-Round 1,Barrel Green,Land 3,Bullet 1,Anyesha,Sneox2,Round 1,BL G-2
Barrel Green-Land 4-Bullet 1-Anyesha-Sneox2-Round 1,Barrel Green,Land 4,Bullet 1,Anyesha,Sneox2,Round 1,BL G-3
Barrel Green-Land 5-Bullet 1-Anyesha-Sneox2-Round 1,Barrel Green,Land 5,Bullet 1,Anyesha,Sneox2,Round 1,BL G-4
Barrel Green-Land 6-Bullet 1-Anyesha-Sneox2-Round 1,Barrel Green,Land 6,Bullet 1,Anyesha,Sneox2,Round 1,BL G-5
Barrel Green-Land 1-Bullet 2-Anyesha-Sneox2-Round 1,Barrel Green,Land 1,Bullet 2,Anyesha,Sneox2,Round 1,BL G-2
Barrel Green-Land 2-Bullet 2-Anyesha-Sneox2-Round 1,Barrel Green,Land 2,Bullet 2,Anyesha,Sneox2,Round 1,BL G-3
Barrel Green-Land 3-Bullet 2-Anyesha-Sneox2-Round 1,Barrel Green,Land 3,Bullet 2,Anyesha,Sneox2,Round 1,BL G-4
Barrel Green-Land 4-Bullet 2-Anyesha-Sneox2-Round 1,Barrel Green,Land 4,Bullet 2,Anyesha,Sneox2,Round 1,BL G-5
