scan_id,barrel,land,bullet,operator,machine,round,unique_id
Barrel Orange-Land 1-Bullet 1-Allison-Sneox1-Round 1,Barrel Orange,Land 1,Bullet 1,Allison,Sneox1,Round 1,BL O-1
Barrel Orange-Land 2-Bullet 1-Allison-Sneox1-Round 1,Barrel Orange,Land 2,Bullet 1,Allison,Sneox1,Round 1,BL O-2
Barrel Orange-Land 3-Bullet 1-Allison-Sneox1-Round 1,Barrel Orange,Land 3,Bullet 1,Allison,Sneox1,Round 1,BL O-3
Barrel Orange-Land 4-Bullet 1-Allison-Sneox1-Round 1,Barrel Orange,Land 4,Bullet 1,Allison,Sneox1,Round 1,BL O-4
Barrel Orange-Land 5-Bullet 1-Allison-Sneox1-Round 1,Barrel Orange,Land 5,Bullet 1,Allison,Sneox1,Round 1,BL O-5
Barrel Orange-Land 6-Bullet 1-Allison-Sneox1-Round 1,Barrel Orange,Land 6,Bullet 1,Allison,Sneox1,Round 1,BL O-6
Barrel Orange-Land 1-Bullet 1-Allison-Sneox1-Round 2,Barrel Orange,Land 1,Bullet 1,Allison,Sneox1,Round 2,BL O-6
Barrel Orange-Land 2-Bullet 1-Allison-Sneox1-Round 2,Barrel Orange,Land 2,Bullet 1,Allison,Sneox1,Round 2,BL O-1
Barrel Orange-Land 3-Bullet 1-Allison-Sneox1-Round 2,Barrel Orange,Land 3,Bullet 1,Allison,Sneox1,Round 2,BL O-2
Barrel Orange-Land 4-Bullet 1-Allison-Sneox1-Round 2,Barrel Orange,Land 4,Bullet 1,Allison,Sneox1,Round 2,BL O-3
Barrel Orange-Land 5-Bullet 1-Allison-Sneox1-Round 2,Barrel Orange,Land 5,Bullet 1,Allison,Sneox1,Round 2,BL O-4
Barrel Orange-Land 6-Bullet 1-Allison-Sneox1-Round 2,Barrel Orange,Land 6,Bullet 1,Allison,Sneox1,Round 2,BL O-5
Barrel Orange-Land 1-Bullet 1-Allison-Sneox1-Round 3,Barrel Orange,Land 1,Bullet 1,Allison,Sneox1,Round 3,BL O-5
Barrel Orange-Land 2-Bullet 1-Allison-Sneox1-Round 3,Barrel Orange,Land 2,Bullet 1,Allison,Sneox1,Round 3,BL O-6
Barrel Orange-Land 3-Bullet 1-Allison-Sneox1-Round 3,Barrel Orange,Land 3,Bullet 1,Allison,Sneox1,Round 3,BL O-1
Barrel Orange-Land 4-Bullet 1-Allison-Sneox1-Round 3,Barrel Orange,Land 4,Bullet 1,Allison,Sneox1,Round 3,BL O-2
Barrel Orange-Land 5-Bullet 1-Allison-Sneox1-Round 3,Barrel Orange,Land 5,Bullet 1,Allison,Sneox1,Round 3,BL O-3
Barrel Orange-Land 6-Bullet 1-Allison-Sneox1-Round 3,Barrel Orange,Land 6,Bullet 1,Allison,Sneox1,Round 3,BL O-4
Barrel Orange-Land 1-Bullet 1-Allison-Sneox2-Round 1,Barrel Orange,Land 1,Bullet 1,Allison,Sneox2,Round 1,BL O-4
Barrel Orange-Land 2-Bullet 1-Allison-Sneox2-Round 1,Barrel Orange,Land 2,Bullet 1,Allison,Sneox2,Round 1,BL O-5
Barrel Orange-Land 3-Bullet 1-Allison-Sneox2-Round 1,Barrel Orange,Land 3,Bullet 1,Allison,Sneox2,Round 1,BL O-6
Barrel Orange-Land 4-Bullet 1-Allison-Sneox2-Round 1,Barrel Orange,Land 4,Bullet 1,Allison,Sneox2,Round 1,BL O-1
Barrel Orange-Land 5-Bullet 1-Allison-Sneox2-Round 1,Barrel Orange,Land 5,Bullet 1,Allison,Sneox2,Round 1,BL O-2
Barrel Orange-Land 6-Bullet 1-Allison-Sneox2-Round 1,Barrel Orange,Land 6,Bullet 1,Allison,Sneox2,Round 1,BL O-3
Barrel Orange-Land 1-Bullet 1-Allison-Sneox2-Round 2,Barrel Orange,Land 1,Bullet 1,Allison,Sneox2,Round 2,BL O-4
Barrel Orange-Land 2-Bullet 1-Allison-Sneox2-Round 2,Barrel Orange,Land 2,Bullet 1,Allison,Sneox2,Round 2,BL O-5
Barrel Orange-Land 3-Bullet 1-Allison-Sneox2-Round 2,Barrel Orange,Land 3,Bullet 1,Allison,Sneox2,Round 2,BL O-6
Barrel Orange-Land 4-Bullet 1-Allison-Sneox2-Round 2,Barrel Orange,Land 4,Bullet 1,Allison,Sneox2,Round 2,BL O-1
Barrel Orange-Land 5-Bullet 1-Allison-Sneox2-Round 2,Barrel Orange,Land 5,Bullet 1,Allison,Sneox2,Round 2,BL O-2
Barrel Orange-Land 6-Bullet 1-Allison-Sneox2-Round 2,Barrel Orange,Land 6,Bullet 1,Allison,Sneox2,Round 2,BL O-3
Barrel Orange-Land 1-Bullet 1-Allison-Sneox2-Round 3,Barrel Orange,Land 1,Bullet 1,Allison,Sneox2,Round 3,BL O-1
Barrel Orange-Land 2-Bullet 1-Allison-Sneox2-Round 3,Barrel Orange,Land 2,Bullet 1,Allison,Sneox2,Round 3,BL O-2
Barrel Orange-Land 3-Bullet 1-Allison-Sneox2-Round 3,Barrel Orange,Land 3,Bullet 1,Allison,Sneox2,Round 3,BL O-3
Barrel Orange-Land 4-Bullet 1-Allison-Sneox2-Round 3,Barrel Orange,Land 4,Bullet 1,Allison,Sneox2,Round 3,BL O-4
Barrel Orange-Land 5-Bullet 1-Allison-Sneox2-Round 3,Barrel Orange,Land 5,Bullet 1,Allison,Sneox2,Round 3,BL O-5
Barrel Orange-Land 6-Bullet 1-Allison-Sneox2-Round 3,Barrel Orange,Land 6,Bullet 1,Allison,Sneox2,Round 3,BL O-6
Barrel Orange-Land 1-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Orange,Land 1,Bullet 1,Anyesha,Sneox1,Round 1,BL O-1
Barrel Orange-Land 2-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Orange,Land 2,Bullet 1,Anyesha,Sneox1,Round 1,BL O-2
Barrel Orange-Land 3-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Orange,Land 3,Bullet 1,Anyesha,Sneox1,Round 1,BL O-3
Barrel Orange-Land 4-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Orange,Land 4,Bullet 1,Anyesha,Sneox1,Round 1,BL O-4
Barrel Orange-Land 5-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Orange,Land 5,Bullet 1,Anyesha,Sneox1,Round 1,BL O-5
Barrel Orange-Land 6-Bullet 1-Anyesha-Sneox1-Round 1,Barrel Orange,Land 6,Bullet 1,Anyesha,Sneox1,Round 1,BL O-6
Barrel Orange-Land 1-Bullet 1-Anyesha-Sneox1-Round 2,Barrel Orange,Land 1,Bullet 1,Anyesha,Sneox1,Round 2,BL O-6
Barrel Orange-Land 2-Bullet 1-Anyesha-Sneox1-Round 2,Barrel Orange,Land 2,Bullet 1,Anyesha,Sneox1,Round 2,BL O-1
Barrel Orange-Land 3-Bullet 1-Anyesha-Sneox1-Round 2,Barrel Orange,Land 3,Bullet 1,Anyesha,Sneox1,Round 2,BL O-2
Barrel Orange-Land 4-Bullet 1-Anyesha-Sneox1-Round 2,Barrel Orange,Land 4,Bullet 1,Anyesha,Sneox1,Round 2,BL O-3
Barrel Orange-Land 5-Bullet 1-Anyesha-Sneox1-Round 2,Barrel Orange,Land 5,Bullet 1,Anyesha,Sneox1,Round 2,BL O-4
Barrel Orange-Land 6-Bullet 1-Anyesha-Sneox1-Round 2,Barrel Orange,Land 6,Bullet 1,Anyesha,Sneox1,Round 2,BL O-5
Barrel Orange-Land 1-Bullet 1-Anyesha-Sneox1-Round 3,Barrel Orange,Land 1,Bullet 1,Anyesha,Sneox1,Round 3,BL O-6
Barrel Orange-Land 2-Bullet 1-Anyesha-Sneox1-Round 3,Barrel Orange,Land 2,Bullet 1,Anyesha,Sneox1,Round 3,BL O-1
Barrel Orange-Land 3-Bullet 1-Anyesha-Sneox1-Round 3,Barrel Orange,Land 3,Bullet 1,Anyesha,Sneox1,Round 3,BL O-2
Barrel Orange-Land 4-Bullet 1-Anyesha-Sneox1-Round 3,Barrel Orange,Land 4,Bullet 1,Anyesha,Sneox1,Round 3,BL O-3
Barrel Orange-Land 5-Bullet 1-Anyesha-Sneox1-Round 3,Barrel Orange,Land 5,Bullet 1,Anyesha,Sneox1,Round 3,BL O-4
Barrel Orange-Land 6-Bullet 1-Anyesha-Sneox1-Round 3,Barrel Orange,Land 6,Bullet 1,Anyesha,Sneox1,Round 3,BL O-5
Barrel Orange-Land 1-Bullet 1-Anyesha-Sneox2-Round 1,Barrel Orange,Land 1,Bullet 1,Anyesha,Sneox2,Round 1,BL O-1
Barrel Orange-Land 2-Bullet 1-Anyesha-Sneox2-Round 1,Barrel Orange,Land 2,Bullet 1,Anyesha,Sneox2,Round 1,BL O-2
Barrel Orange-Land 3-Bullet 1-Anyesha-Sneox2-Round 1,Barrel Orange,Land 3,Bullet 1,Anyesha,Sneox2,Round 1,BL O-3
Barrel Orange-Land 4-Bullet 1-Anyesha-Sneox2-Round 1,Barrel Orange,Land 4,Bullet 1,Anyesha,Sneox2,Round 1,BL O-4
Barrel Orange-Land 5-Bullet 1-Anyesha-Sneox2-Round 1,Barrel Orange,Land 5,Bullet 1,Anyesha,Sneox2,Round 1,BL O-5
Barrel Orange-Land 6-Bullet 1-Anyesha-Sneox2-Round 1,Barrel Orange,Land 6,Bullet 1,Anyesha,Sneox2,Round 1,BL O-6
Barrel Orange-Land 1-Bullet 1-Anyesha-Sneox2-Round 2,Barrel Orange,Land 1,Bullet 1,Anyesha,Sneox2,Round 2,BL O-1
Barrel Orange-Land 2-Bullet 1-Anyesha-Sneox2-Round 2,Barrel Orange,Land 2,Bullet 1,Anyesha,Sneox2,Round 2,BL O-2
Barrel Orange-Land 3-Bullet 1-Anyesha-Sneox2-Round 2,Barrel Orange,Land 3,Bullet 1,Anyesha,Sneox2,Round 2,BL O-3
Barrel Orange-Land 4-Bullet 1-Anyesha-Sneox2-Round 2,Barrel Orange,Land 4,Bullet 1,Anyesha,Sneox2,Round 2,BL O-4
Barrel Orange-Land 5-Bullet 1-Anyesha-Sneox2-Round 2,Barrel Orange,Land 5,Bullet 1,Anyesha,Sneox2,Round 2,BL O-5
Barrel Orange-Land 6-Bullet 1-Anyesha-Sneox2-Round 2,Barrel Orange,Land 6,Bullet 1,Anyesha,Sneox2,Round 2,BL O-6
Barrel Orange-Land 1-Bullet 1-Anyesha-Sneox2-Round 3,Barrel Orange,Land 1,Bullet 1,Anyesha,Sneox2,Round 3,BL O-6
Barrel Orange-Land 2-Bullet 1-Anyesha-Sneox2-Round 3,Barrel Orange,Land 2,Bullet 1,Anyesha,Sneox2,Round 3,BL O-1
Barrel Orange-Land 3-Bullet 1-Anyesha-Sneox2-Round 3,Barrel Orange,Land 3,Bullet 1,Anyesha,Sneox2,Round 3,BL O-2
Barrel Orange-Land 4-Bullet 1-Anyesha-Sneox2-Round 3,Barrel Orange,Land 4,Bullet 1,Anyesha,Sneox2,Round 3,BL O-3
