scan_id,barrel,land,bullet,operator,machine,round,unique_id
Barrel Pink-Land 1-Bullet 1-Allison-Sneox1-Round 1,Barrel Pink,Land 1,Bullet 1,Allison,Sneox1,Round 1,BL P-6
Barrel Pink-Land 2-Bullet 1-Allison-Sneox1-Round 1,Barrel Pink,Land 2,Bullet 1,Allison,Sneox1,Round 1,BL P-1
Barrel Pink-Land 3-Bullet 1-Allison-Sneox1-Round 1,Barrel Pink,Land 3,Bullet 1,Allison,Sneox1,Round 1,BL P-2
Barrel Pink-Land 4-Bullet 1-Allison-Sneox1-Round 1,Barrel Pink,Land 4,Bullet 1,Allison,Sneox1,Round 1,BL P-3
Barrel Pink-Land 5-Bullet 1-Allison-Sneox1-Round 1,Barrel Pink,Land 5,Bullet 1,Allison,Sneox1,Round 1,BL P-4
Barrel Pink-Land 6-Bullet 1-Allison-Sneox1-Round 1,Barrel Pink,Land 6,Bullet 1,Allison,Sneox1,Round 1,BL P-5
Barrel Pink-Land 1-Bullet 1-Allison-Sneox1-Round 2,Barrel Pink,Land 1,Bullet 1,Allison,Sneox1,Round 2,BL P-2
Barrel Pink-Land 2-Bullet 1-Allison-Sneox1-Round 2,Barrel Pink,Land 2,Bullet 1,Allison,Sneox1,Round 2,BL P-3
Barrel Pink-Land 3-Bullet 1-Allison-Sneox1-Round 2,Barrel Pink,Land 3,Bullet 1,Allison,Sneox1,Round 2,BL P-4
Barrel Pink-Land 4-Bullet 1-Allison-Sneox1-Round 2,Barrel Pink,Land 4,Bullet 1,Allison,Sneox1,Round 2,BL P-5
Barrel Pink-Land 5-Bullet 1-Allison-Sneox1-Round 2,Barrel Pink,Land 5,Bullet 1,Allison,Sneox1,Round 2,BL P-6
Barrel Pink-Land 6-Bullet 1-Allison-Sneox1-Round 2,Barrel Pink,Land 6,Bullet 1,Allison,Sneox1,Round 2,BL P-1
Barrel Pink-Land 1-Bullet 1-Allison-Sneox1-Round 3,Barrel Pink,Land 1,Bullet 1,Allison,Sneox1,Round 3,BL P-6
Barrel Pink-Land 2-Bullet 1-Allison-Sneox1-Round 3,Barrel Pink,Land 2,Bullet 1,Allison,Sneox1,Round 3,BL P-1
Barrel Pink-Land 3-Bullet 1-Allison-Sneox1-Round 3,Barrel Pink,Land 3,Bullet 1,Allison,Sneox1,Round 3,BL P-2
Barrel Pink-Land 4-Bullet 1-Allison-Sneox1-Round 3,Barrel Pink,Land 4,Bullet 1,Allison,Sneox1,Round 3,BL P-3
Barrel Pink-Land 5-Bullet 1-Allison-Sneox1-Round 3,Barrel Pink,Land 5,Bullet 1,Allison,Sneox1,Round 3,BL P-4
Barrel Pink-Land 6-Bullet 1-Allison-Sneox1-Round 3,Barrel Pink,Land 6,Bullet 1,Allison,Sneox1,Round 3,BL P-5
Barrel Pink-Land 1-Bullet 1-Allison-Sneox2-Round 1,Barrel Pink,Land 1,Bullet 1,Allison,Sneox2,Round 1,BL P-4
Barrel Pink-Land 2-Bullet 1-Allison-Sneox2-Round 1,Barrel Pink,Land 2,Bullet 1,Allison,Sneox2,Round 1,BL P-5
Barrel Pink-Land 3-Bullet 1-Allison-Sneox2-Round 1,Barrel Pink,Land 3,Bullet 1,Allison,Sneox2,Round 1,BL P-6
Barrel Pink-Land 4-Bullet 1-Allison-Sneox2-Round 1,Barrel Pink,Land 4,Bullet 1,Allison,Sneox2,Round 1,BL P-1
Barrel Pink-Land 5-Bullet 1-Allison-Sneox2-Round 1,Barrel Pink,Land 5,Bullet 1,Allison,Sneox2,Round 1,BL P-2
Barrel Pink-Land 6-Bullet 1-Allison-Sneox2-Round 1,Barrel Pink,Land 6,Bullet 1,Allison,Sneox2,Round 1,BL P-3
Barrel Pink-Land 1-Bullet 1-Allison-Sneox2-Round 2,Barrel Pink,Land 1,Bullet 1,Allison,Sneox2,Round 2,BL P-4
Barrel Pink-Land 2-Bullet 1-Allison-Sneox2-Round 2,Barrel Pink,Land 2,Bullet 1,Allison,Sneox2,Round 2,BL P-5
Barrel Pink-Land 3-Bullet 1-Allison-Sneox2-Round 2,Barrel Pink,Land 3,Bullet 1,Allison,Sneox2,Round 2,BL P-6
Barrel Pink-Land 4-Bullet 1-Allison-Sneox2-Round 2,Barrel Pink,Land 4,Bullet 1,Allison,Sneox2,Round 2,BL P-1
Barrel Pink-Land 5-Bullet 1-Allison-Sneox2-Round 2,Barrel Pink,Land 5,Bullet 1,Allison,Sneox2,Round 2,BL P-2
